# E_gamma(MeV)   Spectrum
5.145440e-01 1.637308e+19
5.413360e-01 1.921854e+19
5.695230e-01 2.243262e+19
5.991770e-01 2.498411e+19
6.303750e-01 2.665800e+19
6.631980e-01 2.756950e+19
6.977300e-01 2.793545e+19
7.340600e-01 2.788686e+19
7.722810e-01 2.753280e+19
8.124930e-01 2.695740e+19
8.547980e-01 2.623813e+19
8.993070e-01 2.541028e+19
9.461320e-01 2.451295e+19
9.953960e-01 2.356246e+19
1.047230e+00 2.258881e+19
1.101750e+00 2.160591e+19
1.159120e+00 2.063369e+19
1.219470e+00 1.966691e+19
1.282970e+00 1.871462e+19
1.349770e+00 1.778945e+19
1.420050e+00 1.689299e+19
1.493990e+00 1.602509e+19
1.571780e+00 1.519069e+19
1.653620e+00 1.438147e+19
1.739730e+00 1.360878e+19
1.830310e+00 1.286825e+19
1.925610e+00 1.216139e+19
2.025880e+00 1.148440e+19
2.131360e+00 1.083846e+19
2.242340e+00 1.022455e+19
2.359100e+00 9.638540e+18
2.481930e+00 9.083273e+18
2.611160e+00 8.556269e+18
2.747120e+00 8.055136e+18
2.890160e+00 7.580808e+18
3.040650e+00 7.130706e+18
3.198970e+00 6.705801e+18
3.365530e+00 6.302853e+18
3.540770e+00 5.921513e+18
3.725140e+00 5.561934e+18
3.919100e+00 5.222192e+18
4.123160e+00 4.901165e+18
4.337850e+00 4.599103e+18
4.563720e+00 4.313729e+18
4.801340e+00 4.046740e+18
5.051340e+00 3.795322e+18
5.314360e+00 3.558569e+18
5.591070e+00 3.337335e+18
5.882190e+00 3.129776e+18
6.188470e+00 2.936310e+18
6.510690e+00 2.756199e+18
6.849700e+00 2.589021e+18
7.206350e+00 2.434442e+18
7.581580e+00 2.291904e+18
7.976340e+00 2.161723e+18
8.391660e+00 2.043593e+18
8.828600e+00 1.937200e+18
9.288290e+00 1.842689e+18
9.771920e+00 1.759637e+18
1.028070e+01 1.689065e+18
1.081600e+01 1.628257e+18
1.137920e+01 1.576986e+18
1.197170e+01 1.534809e+18
1.259510e+01 1.499010e+18
1.325090e+01 1.468415e+18
1.394080e+01 1.439756e+18
1.466670e+01 1.411099e+18
1.543040e+01 1.379825e+18
1.623380e+01 1.342489e+18
1.707910e+01 1.298458e+18
1.796840e+01 1.245846e+18
1.890400e+01 1.186328e+18
1.988830e+01 1.119704e+18
2.092380e+01 1.047035e+18
2.201330e+01 9.690947e+17
2.315950e+01 8.849187e+17
2.436540e+01 8.001386e+17
2.563410e+01 7.167343e+17
2.696880e+01 6.402600e+17
2.837300e+01 5.718071e+17
2.985040e+01 5.116201e+17
3.140470e+01 4.582218e+17
3.303990e+01 4.092104e+17
3.476020e+01 3.641446e+17
3.657010e+01 3.221868e+17
3.847430e+01 2.827361e+17
4.047760e+01 2.463618e+17
4.258520e+01 2.122279e+17
4.480250e+01 1.804966e+17
4.713530e+01 1.522407e+17
4.958960e+01 1.270469e+17
5.217170e+01 1.057586e+17
5.488820e+01 8.787665e+16
5.774620e+01 7.324532e+16
6.075290e+01 6.140255e+16
6.391620e+01 5.156448e+16
6.724430e+01 4.373585e+16
7.074560e+01 3.737563e+16
7.442920e+01 3.217999e+16
7.830470e+01 2.786480e+16
8.238190e+01 2.399068e+16
