# E_gamma(MeV)   Spectrum
5.145440e-01 4.962723e+22
5.413360e-01 6.305415e+22
5.695230e-01 7.644045e+22
5.991770e-01 7.696426e+22
6.303750e-01 7.648926e+22
6.631980e-01 7.526661e+22
6.977300e-01 7.351605e+22
7.340600e-01 7.140224e+22
7.722810e-01 6.904536e+22
8.124930e-01 6.653852e+22
8.547980e-01 6.394702e+22
8.993070e-01 6.132165e+22
9.461320e-01 5.869696e+22
9.953960e-01 5.610385e+22
1.047230e+00 5.356148e+22
1.101750e+00 5.108194e+22
1.159120e+00 4.867680e+22
1.219470e+00 4.635583e+22
1.282970e+00 4.411955e+22
1.349770e+00 4.196834e+22
1.420050e+00 3.990987e+22
1.493990e+00 3.793874e+22
1.571780e+00 3.605726e+22
1.653620e+00 3.426042e+22
1.739730e+00 3.254858e+22
1.830310e+00 3.091870e+22
1.925610e+00 2.936721e+22
2.025880e+00 2.789517e+22
2.131360e+00 2.649218e+22
2.242340e+00 2.516218e+22
2.359100e+00 2.390087e+22
2.481930e+00 2.270329e+22
2.611160e+00 2.156566e+22
2.747120e+00 2.048835e+22
2.890160e+00 1.946868e+22
3.040650e+00 1.850033e+22
3.198970e+00 1.758512e+22
3.365530e+00 1.671810e+22
3.540770e+00 1.589638e+22
3.725140e+00 1.511688e+22
3.919100e+00 1.438095e+22
4.123160e+00 1.368623e+22
4.337850e+00 1.302649e+22
4.563720e+00 1.240116e+22
4.801340e+00 1.181252e+22
5.051340e+00 1.125442e+22
5.314360e+00 1.072652e+22
5.591070e+00 1.022807e+22
5.882190e+00 9.756591e+21
6.188470e+00 9.311709e+21
6.510690e+00 8.889816e+21
6.849700e+00 8.492036e+21
7.206350e+00 8.114110e+21
7.581580e+00 7.759938e+21
7.976340e+00 7.423103e+21
8.391660e+00 7.104707e+21
8.828600e+00 6.804037e+21
9.288290e+00 6.520583e+21
9.771920e+00 6.252330e+21
1.028070e+01 5.996474e+21
1.081600e+01 5.756839e+21
1.137920e+01 5.530092e+21
1.197170e+01 5.313068e+21
1.259510e+01 5.107694e+21
1.325090e+01 4.917207e+21
1.394080e+01 4.730746e+21
1.466670e+01 4.554101e+21
1.543040e+01 4.388648e+21
1.623380e+01 4.234707e+21
1.707910e+01 4.082582e+21
1.796840e+01 3.936988e+21
1.890400e+01 3.804575e+21
1.988830e+01 3.672178e+21
2.092380e+01 3.547895e+21
2.201330e+01 3.428738e+21
2.315950e+01 3.317563e+21
2.436540e+01 3.206756e+21
2.563410e+01 3.100738e+21
2.696880e+01 3.003611e+21
2.837300e+01 2.904926e+21
2.985040e+01 2.811976e+21
3.140470e+01 2.722958e+21
3.303990e+01 2.637852e+21
3.476020e+01 2.549413e+21
3.657010e+01 2.470370e+21
3.847430e+01 2.394943e+21
4.047760e+01 2.315915e+21
4.258520e+01 2.237804e+21
4.480250e+01 2.162493e+21
4.713530e+01 2.089398e+21
4.958960e+01 2.016127e+21
5.217170e+01 1.944550e+21
5.488820e+01 1.868102e+21
5.774620e+01 1.798629e+21
6.075290e+01 1.730498e+21
6.391620e+01 1.662823e+21
6.724430e+01 1.597476e+21
7.074560e+01 1.530299e+21
7.442920e+01 1.468463e+21
7.830470e+01 1.404985e+21
8.238190e+01 1.345259e+21
8.667140e+01 1.285952e+21
9.118430e+01 1.227351e+21
9.593210e+01 1.170504e+21
1.009270e+02 1.115545e+21
1.061820e+02 1.062177e+21
1.117110e+02 1.010089e+21
1.175280e+02 9.589670e+20
1.236470e+02 9.104417e+20
1.300850e+02 8.624247e+20
1.368590e+02 8.162786e+20
1.439850e+02 7.715515e+20
1.514820e+02 7.281498e+20
1.593690e+02 6.867940e+20
1.676680e+02 6.460607e+20
1.763980e+02 6.076424e+20
1.855830e+02 5.705846e+20
1.952460e+02 5.349382e+20
2.054120e+02 5.010454e+20
2.161070e+02 4.686346e+20
2.273600e+02 4.376815e+20
2.391980e+02 4.081340e+20
2.516530e+02 3.800788e+20
2.647560e+02 3.532793e+20
2.785410e+02 3.281164e+20
2.930450e+02 3.042252e+20
3.083030e+02 2.815734e+20
3.243560e+02 2.602915e+20
3.412450e+02 2.405321e+20
3.590130e+02 1.894259e+20
3.777060e+02 1.733553e+20
3.973730e+02 1.583566e+20
4.180640e+02 1.444348e+20
4.398320e+02 1.312731e+20
4.627330e+02 1.190912e+20
4.868270e+02 1.080960e+20
5.121760e+02 9.762446e+19
5.388440e+02 8.810121e+19
5.669010e+02 7.934180e+19
5.964180e+02 7.138151e+19
6.274730e+02 6.405048e+19
6.601450e+02 5.109383e+19
6.945180e+02 4.535785e+19
7.306800e+02 4.013594e+19
7.687260e+02 3.546753e+19
8.087520e+02 3.122928e+19
8.508630e+02 2.746301e+19
8.951660e+02 2.406328e+19
9.417770e+02 2.101799e+19
9.908140e+02 1.834537e+19
1.042400e+03 1.598365e+19
1.096680e+03 1.387901e+19
1.153780e+03 1.202646e+19
1.213860e+03 1.037983e+19
1.277060e+03 8.974207e+18
1.343560e+03 7.723635e+18
1.413520e+03 6.659748e+18
1.487120e+03 5.719385e+18
1.564550e+03 4.908499e+18
1.646010e+03 4.206309e+18
1.731720e+03 3.611178e+18
1.821890e+03 3.101054e+18
1.916750e+03 2.668345e+18
2.016550e+03 2.307566e+18
2.121550e+03 1.995941e+18
2.232020e+03 1.753018e+18
2.348230e+03 1.554734e+18
2.470500e+03 1.442948e+18
2.599140e+03 8.397424e+17
2.734470e+03 7.464615e+17
2.876850e+03 6.733214e+17
3.026650e+03 5.696407e+17
3.184240e+03 5.152093e+17
3.350040e+03 4.661861e+17
3.524470e+03 4.219070e+17
3.707990e+03 3.782221e+17
3.901060e+03 3.389950e+17
4.104180e+03 3.008456e+17
4.317880e+03 2.650286e+17
4.542710e+03 2.308225e+17
4.779240e+03 1.982097e+17
5.028090e+03 1.684834e+17
5.289890e+03 1.415780e+17
5.565330e+03 1.181007e+17
5.855110e+03 9.761180e+16
6.159980e+03 7.975906e+16
6.480720e+03 6.428106e+16
6.818160e+03 5.066928e+16
7.173170e+03 3.916954e+16
7.546670e+03 2.952667e+16
7.939620e+03 2.154455e+16
8.353020e+03 1.521571e+16
8.787950e+03 1.022715e+16
9.245530e+03 6.586448e+15
9.726930e+03 4.142027e+15
1.023340e+04 2.535712e+15
1.076620e+04 1.583985e+15
1.132680e+04 1.002869e+15
1.191660e+04 6.332009e+14
1.253710e+04 3.923676e+14
1.318990e+04 2.253908e+14
1.387660e+04 1.211189e+14
1.459920e+04 6.255723e+13
1.535930e+04 3.045772e+13
1.615910e+04 1.494984e+13
1.700050e+04 7.257527e+12
1.788570e+04 3.379564e+12
1.881690e+04 1.557395e+12
1.979670e+04 6.240786e+11
2.082750e+04 2.360224e+11
2.191200e+04 8.869948e+10
2.305290e+04 3.276317e+10
2.425320e+04 1.158170e+10
2.551610e+04 3.719916e+09
2.684460e+04 1.086065e+09
2.824240e+04 2.861068e+08
2.971300e+04 7.336116e+07
3.126010e+04 1.701405e+07
3.288770e+04 4.019506e+06
3.460020e+04 7.932833e+05
3.640170e+04 1.579343e+05
3.829710e+04 2.752713e+04
4.029120e+04 3.931708e+03
4.238910e+04 6.482042e+02
4.459630e+04 8.080827e+01
4.691830e+04 9.362339e+00
4.936130e+04 1.066823e+00
5.193150e+04 8.294682e-02
5.463550e+04 8.168794e-03
5.748030e+04 5.617421e-04
6.047320e+04 2.838000e-05
6.362200e+04 2.086268e-06
6.693470e+04 8.711619e-08
7.041990e+04 4.055216e-09
7.408660e+04 1.440056e-10
7.794420e+04 3.946288e-12
8.200260e+04 1.012413e-13
8.627240e+04 2.390312e-15
9.076450e+04 3.928249e-17
9.549040e+04 5.026646e-19
1.004630e+05 6.418108e-21
1.056930e+05 5.694730e-23
1.111970e+05 3.595596e-25
1.169870e+05 2.254983e-27
1.230780e+05 8.483949e-30
1.294860e+05 2.810801e-32
1.362290e+05 6.642529e-35
1.433220e+05 1.043322e-37
1.507850e+05 1.422963e-40
