# E_gamma(MeV)   Spectrum
5.145440e-01 1.632265e+21
5.413360e-01 2.064795e+21
5.695230e-01 2.500982e+21
5.991770e-01 2.548907e+21
6.303750e-01 2.556932e+21
6.631980e-01 2.534124e+21
6.977300e-01 2.489050e+21
7.340600e-01 2.428169e+21
7.722810e-01 2.356228e+21
8.124930e-01 2.277243e+21
8.547980e-01 2.193742e+21
8.993070e-01 2.107813e+21
9.461320e-01 2.020940e+21
9.953960e-01 1.934455e+21
1.047230e+00 1.849204e+21
1.101750e+00 1.765531e+21
1.159120e+00 1.684130e+21
1.219470e+00 1.605390e+21
1.282970e+00 1.529380e+21
1.349770e+00 1.455971e+21
1.420050e+00 1.385804e+21
1.493990e+00 1.318478e+21
1.571780e+00 1.254157e+21
1.653620e+00 1.192742e+21
1.739730e+00 1.134158e+21
1.830310e+00 1.078442e+21
1.925610e+00 1.025298e+21
2.025880e+00 9.749446e+20
2.131360e+00 9.269067e+20
2.242340e+00 8.814233e+20
2.359100e+00 8.382942e+20
2.481930e+00 7.973254e+20
2.611160e+00 7.583885e+20
2.747120e+00 7.215418e+20
2.890160e+00 6.867208e+20
3.040650e+00 6.535929e+20
3.198970e+00 6.223658e+20
3.365530e+00 5.927361e+20
3.540770e+00 5.646239e+20
3.725140e+00 5.379864e+20
3.919100e+00 5.128274e+20
4.123160e+00 4.891276e+20
4.337850e+00 4.665471e+20
4.563720e+00 4.451279e+20
4.801340e+00 4.250099e+20
5.051340e+00 4.058903e+20
5.314360e+00 3.877770e+20
5.591070e+00 3.707022e+20
5.882190e+00 3.545207e+20
6.188470e+00 3.392167e+20
6.510690e+00 3.246960e+20
6.849700e+00 3.109919e+20
7.206350e+00 2.979494e+20
7.581580e+00 2.856918e+20
7.976340e+00 2.739549e+20
8.391660e+00 2.629241e+20
8.828600e+00 2.524025e+20
9.288290e+00 2.425321e+20
9.771920e+00 2.331124e+20
1.028070e+01 2.240665e+20
1.081600e+01 2.156143e+20
