# E_gamma(MeV)   Spectrum
5.145440e-01 1.209021e+19
5.413360e-01 1.415745e+19
5.695230e-01 1.656119e+19
5.991770e-01 1.880505e+19
6.303750e-01 2.031000e+19
6.631980e-01 2.115595e+19
6.977300e-01 2.153007e+19
7.340600e-01 2.154098e+19
7.722810e-01 2.129708e+19
8.124930e-01 2.085799e+19
8.547980e-01 2.029308e+19
8.993070e-01 1.963942e+19
9.461320e-01 1.892121e+19
9.953960e-01 1.815829e+19
1.047230e+00 1.737759e+19
1.101750e+00 1.659172e+19
1.159120e+00 1.580547e+19
1.219470e+00 1.502919e+19
1.282970e+00 1.426347e+19
1.349770e+00 1.352517e+19
1.420050e+00 1.280675e+19
1.493990e+00 1.211252e+19
1.571780e+00 1.144635e+19
1.653620e+00 1.080450e+19
1.739730e+00 1.019307e+19
1.830310e+00 9.606561e+18
1.925610e+00 9.049128e+18
2.025880e+00 8.517954e+18
2.131360e+00 8.012949e+18
2.242340e+00 7.535282e+18
2.359100e+00 7.078672e+18
2.481930e+00 6.650007e+18
2.611160e+00 6.242723e+18
2.747120e+00 5.858465e+18
2.890160e+00 5.496022e+18
3.040650e+00 5.152947e+18
3.198970e+00 4.830233e+18
3.365530e+00 4.525492e+18
3.540770e+00 4.238959e+18
3.725140e+00 3.968834e+18
3.919100e+00 3.715255e+18
4.123160e+00 3.476265e+18
4.337850e+00 3.252002e+18
4.563720e+00 3.041190e+18
4.801340e+00 2.844222e+18
5.051340e+00 2.659503e+18
5.314360e+00 2.486352e+18
5.591070e+00 2.324566e+18
5.882190e+00 2.173387e+18
6.188470e+00 2.032877e+18
6.510690e+00 1.902669e+18
6.849700e+00 1.781869e+18
7.206350e+00 1.671173e+18
7.581580e+00 1.569390e+18
7.976340e+00 1.477309e+18
8.391660e+00 1.394281e+18
8.828600e+00 1.320906e+18
9.288290e+00 1.257419e+18
9.771920e+00 1.203668e+18
1.028070e+01 1.161850e+18
1.081600e+01 1.129317e+18
1.137920e+01 1.107608e+18
1.197170e+01 1.097437e+18
1.259510e+01 1.098351e+18
1.325090e+01 1.110324e+18
1.394080e+01 1.132058e+18
1.466670e+01 1.161609e+18
1.543040e+01 1.195804e+18
1.623380e+01 1.229344e+18
1.707910e+01 1.257590e+18
1.796840e+01 1.272506e+18
1.890400e+01 1.269037e+18
1.988830e+01 1.239655e+18
2.092380e+01 1.178557e+18
2.201330e+01 1.085290e+18
2.315950e+01 9.586383e+17
2.436540e+01 8.130106e+17
2.563410e+01 6.599671e+17
2.696880e+01 5.165576e+17
2.837300e+01 3.905208e+17
2.985040e+01 2.870208e+17
3.140470e+01 2.065257e+17
3.303990e+01 1.447116e+17
3.476020e+01 1.009637e+17
3.657010e+01 7.012012e+16
3.847430e+01 4.851774e+16
4.047760e+01 3.348044e+16
4.258520e+01 2.204192e+16
4.480250e+01 1.363362e+16
4.713530e+01 7.974396e+15
4.958960e+01 4.394794e+15
5.217170e+01 2.423641e+15
5.488820e+01 1.341719e+15
5.774620e+01 7.467856e+14
6.075290e+01 4.172302e+14
6.391620e+01 2.126939e+14
6.724430e+01 1.013020e+14
7.074560e+01 4.687770e+13
7.442920e+01 2.071696e+13
7.830470e+01 9.300506e+12
8.238190e+01 3.917857e+12
8.667140e+01 1.567239e+12
9.118430e+01 6.618368e+11
9.593210e+01 2.524154e+11
1.009270e+02 8.912017e+10
1.061820e+02 3.110601e+10
1.117110e+02 1.046850e+10
1.175280e+02 3.664368e+09
1.236470e+02 1.129587e+09
1.300850e+02 3.097384e+08
1.368590e+02 9.419667e+07
1.439850e+02 2.566979e+07
1.514820e+02 6.396621e+06
1.593690e+02 1.532064e+06
1.676680e+02 3.306520e+05
1.763980e+02 7.254460e+04
1.855830e+02 1.332642e+04
1.952460e+02 2.190558e+03
2.054120e+02 3.890910e+02
2.161070e+02 5.266850e+01
2.273600e+02 7.097630e+00
2.391980e+02 8.750732e-01
2.516530e+02 7.672246e-02
2.647560e+02 8.147226e-03
2.785410e+02 6.547310e-04
2.930450e+02 3.692250e-05
