# E_gamma(MeV)   Spectrum
5.145440e-01 1.901147e+20
5.413360e-01 2.291222e+20
5.695230e-01 2.703027e+20
5.991770e-01 2.843641e+20
6.303750e-01 2.928814e+20
6.631980e-01 2.972360e+20
6.977300e-01 2.981158e+20
7.340600e-01 2.963218e+20
7.722810e-01 2.921786e+20
8.124930e-01 2.868407e+20
8.547980e-01 2.803837e+20
8.993070e-01 2.729333e+20
9.461320e-01 2.651659e+20
9.953960e-01 2.570354e+20
1.047230e+00 2.488967e+20
1.101750e+00 2.404951e+20
1.159120e+00 2.323353e+20
1.219470e+00 2.242035e+20
1.282970e+00 2.163328e+20
1.349770e+00 2.083744e+20
1.420050e+00 2.008582e+20
1.493990e+00 1.935541e+20
1.571780e+00 1.862970e+20
1.653620e+00 1.794467e+20
1.739730e+00 1.726413e+20
1.830310e+00 1.662159e+20
1.925610e+00 1.599149e+20
2.025880e+00 1.539156e+20
2.131360e+00 1.479591e+20
2.242340e+00 1.422948e+20
2.359100e+00 1.368125e+20
2.481930e+00 1.315044e+20
2.611160e+00 1.264526e+20
2.747120e+00 1.213434e+20
2.890160e+00 1.165858e+20
3.040650e+00 1.118280e+20
3.198970e+00 1.074465e+20
3.365530e+00 1.029940e+20
3.540770e+00 9.870940e+19
3.725140e+00 9.459003e+19
3.919100e+00 9.059123e+19
4.123160e+00 8.672487e+19
4.337850e+00 8.301392e+19
4.563720e+00 7.933075e+19
4.801340e+00 7.581575e+19
5.051340e+00 7.240584e+19
5.314360e+00 6.905273e+19
5.591070e+00 6.594044e+19
5.882190e+00 6.277712e+19
6.188470e+00 5.978307e+19
6.510690e+00 5.688781e+19
6.849700e+00 5.409113e+19
7.206350e+00 5.139617e+19
7.581580e+00 4.877510e+19
7.976340e+00 4.623846e+19
8.391660e+00 4.386873e+19
8.828600e+00 4.149383e+19
9.288290e+00 3.927265e+19
9.771920e+00 3.711335e+19
1.028070e+01 3.504942e+19
1.081600e+01 3.307177e+19
1.137920e+01 3.114628e+19
1.197170e+01 2.935534e+19
1.259510e+01 2.762226e+19
1.325090e+01 2.596296e+19
1.394080e+01 2.437893e+19
1.466670e+01 2.287734e+19
1.543040e+01 2.145741e+19
1.623380e+01 2.010365e+19
1.707910e+01 1.880826e+19
1.796840e+01 1.758656e+19
1.890400e+01 1.644140e+19
1.988830e+01 1.534784e+19
2.092380e+01 1.432953e+19
2.201330e+01 1.335714e+19
2.315950e+01 1.244428e+19
2.436540e+01 1.158894e+19
2.563410e+01 1.078597e+19
2.696880e+01 1.003510e+19
2.837300e+01 9.321361e+18
