filename,document title,DOI,GitHub link
A Parameter-Free Structural Bridge between the Fine-Structure Constant and Newton's Gravitational Constant.tex,A Parameter-Free Structural Bridge between the Fine-Structure Constant and Newton's Gravitational Constant in the PDL Framework,https://doi.org/10.5281/zenodo.19219858,https://github.com/laubscher-lab/PDL-framework/blob/main/A%20Parameter-Free%20Structural%20Bridge%20between%20the%20Fine-Structure%20Constant%20and%20Newton%27s%20Gravitational%20Constant.tex
A_Topological_Reformulation_in_the_Projective_Dynamic_Logo_Framework.tex,Logical Leakage as Self-Maintained Probability: A Topological Reformulation in the Projective Dynamic Logo Framework,https://doi.org/10.5281/zenodo.18664995,https://github.com/laubscher-lab/PDL-framework/blob/main/A_Topological_Reformulation_in_the_Projective_Dynamic_Logo_Framework.tex
arXiv-2508.19335v1/paper.tex,GammaPBHPlotter: A public code for calculating the complete Hawking evaporation gamma-ray spectra from primordial black holes,https://doi.org/10.48550/arXiv.2508.19335,https://github.com/laubscher-lab/PDL-framework/blob/main/arXiv-2508.19335v1/paper.tex
Axiomatic Derivation of the Leading Valence Engagement Amplitude in the PDL Framework.tex,Axiomatic Derivation of the Leading Valence Engagement Amplitude in the PDL Framework,https://doi.org/10.5281/zenodo.19283107,https://github.com/laubscher-lab/PDL-framework/blob/main/Axiomatic%20Derivation%20of%20the%20Leading%20Valence%20Engagement%20Amplitude%20in%20the%20PDL%20Framework.tex
back-cover.tex,Back cover — Whatever We May Be,,https://github.com/laubscher-lab/PDL-framework/blob/main/back-cover.tex
Bekenstein--Hawking Entropy from the PDL Effective Gravitational Coupling.tex,"Bekenstein--Hawking Entropy from the PDL Effective Gravitational Coupling: The 4π Identity, Surface Counting, and Primordial Black Hole Predictions Document D38 --- PDL Programme",https://doi.org/10.5281/zenodo.19354682,https://github.com/laubscher-lab/PDL-framework/blob/main/Bekenstein--Hawking%20Entropy%20from%20the%20PDL%20Effective%20Gravitational%20Coupling.tex
Born Rule from (A)∧(B)-Admissible Amplitudes in the PDL Framework.tex,Born Rule from (A)∧(B) -Admissible Amplitudes in the PDL Framework,https://doi.org/10.5281/zenodo.19322776,https://github.com/laubscher-lab/PDL-framework/blob/main/Born%20Rule%20from%20%28A%29%E2%88%A7%28B%29-Admissible%20Amplitudes%20in%20the%20PDL%20Framework.tex
cell_1_coherent_configs.py,D66 -- CELLULE 1 / 4,,https://github.com/laubscher-lab/PDL-framework/blob/main/cell_1_coherent_configs.py
cell_2_parity_obstruction.py,D66 -- CELLULE 2 / 4,,https://github.com/laubscher-lab/PDL-framework/blob/main/cell_2_parity_obstruction.py
cell_3_spin_resolution.py,D66 -- CELLULE 3 / 4,,https://github.com/laubscher-lab/PDL-framework/blob/main/cell_3_spin_resolution.py
cell_4_D33_link.py,D66 -- CELLULE 4 / 4,,https://github.com/laubscher-lab/PDL-framework/blob/main/cell_4_D33_link.py
Closure-Density Dependence of the Effective Gravitational Coupling and the Structural Origin of the Hubble Tension.tex,Closure-Density Dependence of the Effective Gravitational Coupling and the Structural Origin of the Hubble Tension in the PDL Framework,https://doi.org/10.5281/zenodo.19206960,https://github.com/laubscher-lab/PDL-framework/blob/main/Closure-Density%20Dependence%20of%20the%20Effective%20Gravitational%20Coupling%20and%20the%20Structural%20Origin%20of%20the%20Hubble%20Tension.tex
Coherence Leakage Hierarchical Filtering and the Exponent 18 in the PDLogo Framework.tex,"Coherence Leakage, Hierarchical Filtering, and the Exponent 18 in the Projective Dynamic Logo Framework",https://doi.org/10.5281/zenodo.18841254,https://github.com/laubscher-lab/PDL-framework/blob/main/Coherence%20Leakage%20Hierarchical%20Filtering%20and%20the%20Exponent%2018%20in%20the%20PDLogo%20Framework.tex
Coherence Leakage Hierarchical Filtering and the Exponent 18 in the PDLogo Framework_v2.tex,"Coherence Leakage, Hierarchical Filtering, and the Exponent 18 in the Projective Dynamic Logo Framework",,https://github.com/laubscher-lab/PDL-framework/blob/main/Coherence%20Leakage%20Hierarchical%20Filtering%20and%20the%20Exponent%2018%20in%20the%20PDLogo%20Framework_v2.tex
Coherence_Effective_Fields_Gauss_Faraday_Structure_Triangle_Counts_Schrödinger_Dynamics_PDL_Framework.tex,From Discrete Coherence Flux to Effective Fields: A Structured Programme within the PDL Framework,https://doi.org/10.5281/zenodo.18716526,https://github.com/laubscher-lab/PDL-framework/blob/main/Coherence_Effective_Fields_Gauss_Faraday_Structure_Triangle_Counts_Schro%CC%88dinger_Dynamics_PDL_Framework.tex
Combinatorial Proton Architecture PDL_v2.tex,"On the Combinatorial Selection of the Proton Architecture in PDL Axiomatic Constraints, Integer Structures, and a Uniqueness Conjecture",https://doi.org/10.5281/zenodo.18832953,https://github.com/laubscher-lab/PDL-framework/blob/main/Combinatorial%20Proton%20Architecture%20PDL_v2.tex
Combinatorial_Proton_Architecture_PDL.tex,"On the Combinatorial Selection of the Proton Architecture in PDL Axiomatic Constraints, Integer Structures, and a Uniqueness Conjecture",,https://github.com/laubscher-lab/PDL-framework/blob/main/Combinatorial_Proton_Architecture_PDL.tex
Consolidation_DL_session_Spinoza_Lawvere.md,"Consolidation — Exploration DL-OP1 / DL-OP2 (n*_vie, n*_conscience)",,https://github.com/laubscher-lab/PDL-framework/blob/main/Consolidation_DL_session_Spinoza_Lawvere.md
D-exp-f7_2.tex,D-exp-f7/2 PDL Structural Analysis of the f_ 7/2 Mirror Nuclei: 47 Cr-- 47 V and 49 Mn-- 49 Cr Confrontation with the Escudeiro--Recchia--Lenzi et al. (2026) B(E2) Data,https://doi.org/10.5281/zenodo.20593807,https://github.com/laubscher-lab/PDL-framework/blob/main/D-exp-f7_2.tex
D-exp-SP2.tex,D-exp-SP2: Topological Optimality Criterion for Coherent Photon-to-Electron Conversion Projective Dynamic Logo Framework — Exploratory Document,https://doi.org/10.5281/zenodo.20242505,https://github.com/laubscher-lab/PDL-framework/blob/main/D-exp-SP2.tex
D-exp-ZIB.tex,D-exp-ZIB Bipartite Supercapacitors for Zinc-Ion Energy Storage: A PDL-Derived Materials Selection Principle Exploratory Document — PDL Framework,https://doi.org/10.5281/zenodo.20262293,https://github.com/laubscher-lab/PDL-framework/blob/main/D-exp-ZIB.tex
D-exp-Zr.tex,D-exp-Zr: Structural Origin of the Quantum Phase Transition in Zirconium Isotopes A PDL Framework Analysis of the Lifetime Measurements of Pasqualato et al. (2024) Projective Dynamic Logo Framework --- Exploratory Document,https://doi.org/10.5281/zenodo.20321750,https://github.com/laubscher-lab/PDL-framework/blob/main/D-exp-Zr.tex
D19ad_Addendum_D19_Binary_Distinction_and_Bearer_Problem.tex,On the Necessity of the Binary Distinction and the Dissolution of the Bearer Problem An Addendum to Existence as Pulsating Closure (D19) PDL Document D19ad,https://doi.org/10.5281/zenodo.21518530,https://github.com/laubscher-lab/PDL-framework/blob/main/D19ad_Addendum_D19_Binary_Distinction_and_Bearer_Problem.tex
D41 pdl island of inversion.tex,"Structural Closure Multiplicity and the Isospin-Symmetric Island of Inversion: a PDL Analysis of 84,86 Mo D41 --- Projective Dynamic Logo Framework",https://doi.org/10.5281/zenodo.19384396,https://github.com/laubscher-lab/PDL-framework/blob/main/D41%20pdl%20island%20of%20inversion.tex
D42_Derivation of H3 from C1–C4.tex,Derivation of H_3 from Axioms C1--C4: The Equiparticipation Lemma and the Closure of Causality D42 --- Projective Dynamic Logo Framework,https://doi.org/10.5281/zenodo.20041348,https://github.com/laubscher-lab/PDL-framework/blob/main/D42_Derivation%20of%20H3%20from%20C1%E2%80%93C4.tex
